,filename, date, gender, race, yearofbirth, weather, glasses, expression, yaw,Unnamed: 9
0,90003d1.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Inside, glasses, BlankStare,45,90003d1.nef
1,90003d2.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Inside, glasses, Happiness,45,90003d2.nef
2,90003d3.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Inside, none, BlankStare,45,90003d3.nef
3,90003d4.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Inside, prism, BlankStare,45,90003d4.nef
4,90003d5.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Inside, prism, Happiness,45,90003d5.nef
5,90003d6.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Inside, none, Happiness,45,90003d6.nef
6,90003d7.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Inside, glasses, BlankStare,90,90003d7.nef
7,90003d8.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Inside, glasses, Happiness,90,90003d8.nef
8,90003d9.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Inside, none, BlankStare,90,90003d9.nef
9,90003d10.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Inside, prism, BlankStare,90,90003d10.nef
10,90003d11.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Inside, prism, Happiness,90,90003d11.nef
11,90003d12.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Inside, none, Happiness,90,90003d12.nef
12,90003d13.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Inside, glasses, BlankStare,0,90003d13.nef
13,90003d14.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Inside, glasses, BlankStare,0,90003d14.nef
14,90003d15.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Inside, glasses, Happiness,0,90003d15.nef
15,90003d16.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Inside, glasses, Happiness,0,90003d16.nef
16,90003d17.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Inside, none, BlankStare,0,90003d17.nef
17,90003d18.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Inside, none, BlankStare,0,90003d18.nef
18,90003d19.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Inside, prism, BlankStare,0,90003d19.nef
19,90003d20.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Inside, prism, BlankStare,0,90003d20.nef
20,90003d21.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Inside, prism, Happiness,0,90003d21.nef
21,90003d22.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Inside, prism, Happiness,0,90003d22.nef
22,90003d23.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Inside, none, Happiness,0,90003d23.nef
23,90003d24.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Inside, none, Happiness,0,90003d24.nef
24,90003d25.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Inside, glasses, BlankStare,-45,90003d25.nef
25,90003d26.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Inside, glasses, Happiness,-45,90003d26.nef
26,90003d27.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Inside, none, BlankStare,-45,90003d27.nef
27,90003d28.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Inside, prism, BlankStare,-45,90003d28.nef
28,90003d29.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Inside, prism, Happiness,-45,90003d29.nef
29,90003d30.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Inside, none, Happiness,-45,90003d30.nef
30,90003d31.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Inside, glasses, BlankStare,-90,90003d31.nef
31,90003d32.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Inside, glasses, Happiness,-90,90003d32.nef
32,90003d33.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Inside, none, BlankStare,-90,90003d33.nef
33,90003d34.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Inside, prism, BlankStare,-90,90003d34.nef
34,90003d35.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Inside, prism, Happiness,-90,90003d35.nef
35,90003d36.nef, 2009-08-08 00:00:00, Male, Black-or-African-American,1970, Inside, none, Happiness,-90,90003d36.nef
